name,field
Robert Oppenheimer,physics
Robert Schumann,music
Roger Bacon,philosophy
Ronald C. Kessler,psychology
Rosalind Franklin,biology
Salvador Dalí,art
Samuel Morse,invention
Sappho,literature
Seneca,philosophy
Sergei Prokofiev,music
Shen Kuo,polymath
Shinichi Mochizuki,mathematics
Simone de Beauvoir,philosophy
Socrates,philosophy
Sofia Kovalevskaya,mathematics
Sophie Germain,mathematics
Srinivasa Ramanujan,mathematics
Stephen Hawking,physics
Steve Jobs,invention
Su Song,invention
Sun Tzu,political thought
Søren Kierkegaard,philosophy
Taqi al-Din,engineering
Terence Tao,mathematics
Thales of Miletus,philosophy
Thomas Aquinas,philosophy
Thomas Edison,invention
Thomas Harriot,mathematics
Thomas Hobbes,philosophy
Thomas Jefferson,political thought
Thomas More,philosophy
Tim Berners-Lee,computer science
Titian,art
Toni Morrison,literature
Tu Youyou,medicine
Victor Hugo,literature
Vincent van Gogh,art
Virgil,literature
Virginia Woolf,literature
Vito Volterra,mathematics
Voltaire,philosophy
Walter C. Willett,medicine
Werner Heisenberg,physics
Willard Libby,chemistry
William James,philosophy
William Shakespeare,literature
William of Ockham,philosophy
Wolfgang Amadeus Mozart,music
Zeno of Citium,philosophy
Zhang Heng,invention
Zheng He,exploration
Zhong Lin Wang,physics
Émile Picard,mathematics
Évariste Galois,mathematics
Abu al-Qasim al-Zahrawi,medicine
Al-Farabi,philosophy
Benoit Mandelbrot,mathematics
C.V. Raman,physics
Demis Hassabis,computer science
Emilie du Chatelet,physics
Grace Hopper,computer science
Hedy Lamarr,invention
Ibn Battuta,exploration
Ibn Khaldun,social thought
Imhotep,polymath
Jacques Derrida,philosophy
Jagdish Chandra Bose,physics
John Nash,mathematics
Joseph Fourier,mathematics
Li Bai,literature
Lynn Margulis,biology
Michel Foucault,philosophy
Mozi,philosophy
Murasaki Shikibu,literature
Noam Chomsky,linguistics
Oliver Heaviside,mathematics
Rumi,literature
Subrahmanyan Chandrasekhar,physics
Sushruta,medicine
Johann Wolfgang von Goethe,polymath
Adam Smith,philosophy
Benjamin Franklin,polymath
Siddhartha Gautama,philosophy
Al-Biruni,polymath
Al-Razi,medicine
Panini,linguistics
Varahamihira,astronomy
Zu Chongzhi,mathematics
Li Shizhen,medicine
Mary Anning,paleontology
Caroline Herschel,astronomy
Dorothy Hodgkin,chemistry
Katsushika Hokusai,art
Akira Kurosawa,film
J.R.R. Tolkien,literature
Caroline Lucretia Herschel,astronomy
Ada Yonath,chemistry
Barbara Liskov,computer science
Chien-Shiung Wu,physics
Dorothy Crowfoot Hodgkin,chemistry
Elizabeth Blackburn,biology
Frances Arnold,chemistry
Gerty Cori,biology
Irene Joliot-Curie,chemistry
Maria Goeppert Mayer,physics
Rita Levi-Montalcini,biology
Youyou Tu,medicine
Ashoka,political thought
Cyrus the Great,political thought
Qin Shi Huang,political thought
Alhazen Ibn al-Haytham,optics
Ibn Sina,polymath
Ashurbanipal,political thought
Hammurabi,political thought
