name,field
Jacques Monod,Biology-Genetics
François Jacob,Biology-Genetics
Max Delbrück,Biology-Genetics
Francis Bacon,Philosophy-Scientific Method
Giovanni Boccaccio,Literature
Geoffrey Chaucer,Literature
Basho,Poetry
Lady Murasaki Shikibu,Literature
Li Po,Poetry
Du Fu,Poetry
Tiruvalluvar,Literature-Ethics
Kalidasa,Literature-Drama
Sana-i,Poetry-Sufism
Farid ud-Din Attar,Poetry-Sufism
Hafez,Poetry
Jami,Poetry
Nizami Ganjavi,Poetry
Omar Khayyam,Mathematics-Poetry
Ibn Sina,Medicine-Philosophy
Al-Farabi,Philosophy-Music
Al-Ghazali,Philosophy-Theology
Ibn Rushd,Philosophy-Theology
Averroes,Philosophy-Theology
Wu Cheng'en,Literature
Cao Xueqin,Literature
Lu Xun,Literature
Jorge Amado,Literature
Gabriel Mistral,Literature-Poetry
Clarice Lispector,Literature
Octavio Paz,Poetry
Derek Walcott,Poetry
Seamus Heaney,Poetry
Czesław Miłosz,Poetry
Wisława Szymborska,Poetry
Robert Frost,Poetry
e-e cummings,Poetry
Langston Hughes,Poetry
James Baldwin,Literature-Activism
Zora Neale Hurston,Literature-Anthropology
Gabriel Marcell,Philosophy-Existentialism
Edith Stein,Philosophy-Theology
Hannah Arendt,Political Theory
Turing-Alan,Mathematics-Computer Science
Bohr-Niels,Physics
Curie-Marie,Chemistry-Physics
Einstein-Albert,Physics
Newton-Isaac,Physics-Mathematics
Plato,Philosophy
Confucius,Philosophy
Da Vinci-Leonardo,Polymath
Aristotle,Philosophy-Logic
Shakespeare-William,Literature-Drama
Bach-Johann Sebastian,Music
Michelangelo,Art-Sculpture
Goethe-Johann Wolfgang von,Polymath-Literature
Galilei-Galileo,Astronomy-Physics
Darwin-Charles,Biology
Tesla-Nikola,Engineering-Invention
Socrates,Philosophy
Kant-Immanuel,Philosophy
Descartes-René,Philosophy-Mathematics
Leibniz-Gottfried Wilhelm,Mathematics-Philosophy
Beethoven-Ludwig van,Music
Mozart-Wolfgang Amadeus,Music
Planck-Max,Physics
Heisenberg-Werner,Physics
Dirac-Paul,Physics
Feynman-Richard,Physics
Maxwell-James Clerk,Physics
Faraday-Michael,Physics
Euclid,Mathematics
Archimedes,Mathematics-Engineering
Gauss-Carl Friedrich,Mathematics
Riemann-Bernhard,Mathematics
Galois-Évariste,Mathematics
Gödel-Kurt,Mathematics-Logic
Von Neumann-John,Mathematics-Computer Science
Shannon-Claude,Mathematics-Information Theory
Chomsky-Noam,Linguistics
Freud-Sigmund,Psychology
Jung-Carl,Psychology
Avicenna,Medicine-Philosophy
Al-Khwarizmi,Mathematics-Astronomy
Ibn Khaldun,Sociology-Historiography
Maimonides,Philosophy-Theology
Averroes,Philosophy-Theology
Homer,Literature-Poetry
Virgil,Literature-Poetry
Dante Alighieri,Literature-Poetry
Cervantes-Miguel de,Literature
Dostoevsky-Fyodor,Literature
Tolstoy-Leo,Literature
Proust-Marcel,Literature
Woolf-Virginia,Literature
Kafka-Franz,Literature
Borges-Jorge Luis,Literature
García Márquez-Gabriel,Literature
Austen-Jane,Literature
Shelley-Mary,Literature
Gutenberg-Johannes,Invention-Printing
Edison-Thomas,Invention
Carver-George Washington,Botany-Invention
Franklin-Benjamin,Polymath-Invention
Hippocrates,Medicine
Galen,Medicine
Vesalius-Andreas,Anatomy-Medicine
Harvey-William,Medicine
Pasteur-Louis,Chemistry-Microbiology
Koch-Robert,Medicine-Microbiology
Sabin-Albert,Medicine-Virology
Salk-Jonas,Medicine-Virology
Fleming-Alexander,Medicine-Bacteriology
Lavoisier-Antoine,Chemistry
Mendeleev-Dmitri,Chemistry
Pauling-Linus,Chemistry-Peace
Franklin-Rosalind,Biophysics
McClintock-Barbara,Genetics
Mendel-Gregor,Genetics
Crick-Francis,Genetics-Molecular Biology
Watson-James,Genetics-Molecular Biology
Pascal-Blaise,Mathematics-Philosophy
Fermat-Pierre de,Mathematics
Lagrange-Joseph-Louis,Mathematics
Euler-Leonhard,Mathematics
Ramanujan-Srinivasa,Mathematics
Poincaré-Henri,Mathematics-Physics
Hilbert-David,Mathematics
Copernicus-Nicolaus,Astronomy
Kepler-Johannes,Astronomy
Huygens-Christiaan,Physics-Astronomy
Pascal-Blaise,Mathematics-Philosophy
Noether-Emmy,Mathematics
Germain-Sophie,Mathematics
Agnesi-Maria Gaetana,Mathematics
Boole-George,Mathematics-Logic
Russell-Bertrand,Philosophy-Logic
Whitehead-Alfred North,Philosophy-Mathematics
Locke-John,Philosophy
Hume-David,Philosophy
Rousseau-Jean-Jacques,Philosophy
Smith-Adam,Economics
Marx-Karl,Sociology-Economics
Keynes-John Maynard,Economics
Friedman-Milton,Economics
Arendt-Hannah,Political Theory
Foucault-Michel,Philosophy-History
Derrida-Jacques,Philosophy
De Beauvoir-Simone,Philosophy-Feminism
Tubman-Harriet,Social Thought-Activism
Gandhi-Mahatma,Social Thought-Ethics
King Jr-Martin Luther,Social Thought-Ethics
Mandela-Nelson,Social Thought-Ethics
Bell-Alexander Graham,Invention-Telephony
Marconi-Guglielmo,Invention-Radio
Wright-Orville,Invention-Aeronautics
Wright-Wilbur,Invention-Aeronautics
Jobs-Steve,Design-Technology
Gates-Bill,Technology-Software
Yonath-Ada,Chemistry-Crystallography
Bush-Vannevar,Engineering-Information Science
Hopper-Grace,Computer Science
Knuth-Donald,Computer Science-Mathematics
Torvalds-Linus,Software Engineering
Berners-Lee-Tim,Computer Science-WWW
Lamarr-Hedy,Invention-Communications
Stravinsky-Igor,Music
Schoenberg-Arnold,Music
Debussy-Claude,Music
Wright-Frank Lloyd,Architecture
Le Corbusier,Architecture
Mies van der Rohe-Ludwig,Architecture
Palladio-Andrea,Architecture
Brunelleschi-Filippo,Architecture-Engineering
Donatello,Sculpture
Raphael,Art-Painting
Botticelli-Sandro,Art-Painting
El Greco,Art-Painting
Rembrandt,Art-Painting
Van Eyck-Jan,Art-Painting
Bosch-Hieronymus,Art-Painting
Turner-J-M-W,Art-Painting
Picasso-Pablo,Art-Painting-Sculpture
Van Gogh-Vincent,Art-Painting
Monet-Claude,Art-Painting
Cézanne-Paul,Art-Painting
Kandinsky-Wassily,Art-Painting
Matisse-Henri,Art-Painting
O-Keeffe-Georgia,Art-Painting
Kahlo-Frida,Art-Painting
Dalí-Salvador,Art-Painting
Kurosawa-Akira,Film-Directing
Hitchcock-Alfred,Film-Directing
Eisenstein-Sergei,Film-Directing
Welles-Orson,Film-Directing
Chaplin-Charlie,Film-Acting-Directing
Duncan-Isadora,Dance-Choreography
Graham-Martha,Dance-Choreography
Balanchine-George,Dance-Choreography
Nijinsky-Vaslav,Dance-Choreography
Beijerinck-Marthinus,Microbiology
Winogradsky-Sergei,Microbiology
Dobzhansky-Theodosius,Genetics-Evolution
Schrödinger-Erwin,Physics-Biology
Linnaeus-Carl,Botany-Taxonomy
Carson-Rachel,Ecology
Goodall-Jane,Primatology-Anthropology
Pólya-George,Mathematics-Pedagogy
Grothendieck-Alexander,Mathematics
Cartwright-Mary,Mathematics
Ladyzhenskaya-Olga,Mathematics
Manin-Yuri,Mathematics
Kolmogorov-Andrei,Mathematics
Walras-Léon,Economics
Pareto-Vilfredo,Sociology-Economics
Samuelson-Paul,Economics
Ostrom-Elinor,Economics-Political Science
Quine-W-V-O,Philosophy-Logic
Kripke-Saul,Philosophy-Logic
Putnam-Hilary,Philosophy-Logic
Butler-Judith,Philosophy-Gender Theory
Rand-Ayn,Philosophy-Literature
Emerson-Ralph Waldo,Philosophy-Literature
Thoreau-Henry David,Philosophy-Literature
Whitman-Walt,Poetry
Dickinson-Emily,Poetry
Eliot-T-S,Poetry
Pound-Ezra,Poetry
Yeats-W-B,Poetry
Auden-W-H,Poetry
Neruda-Pablo,Poetry
Paz-Octavio,Poetry
Morrison-Toni,Literature
Achebe-Chinua,Literature
Soyinka-Wole,Literature
Mahfouz-Naguib,Literature
Tagore-Rabindranath,Literature-Arts
Gibran-Kahlil,Literature-Poetry
Sun Tzu,Military Strategy-Philosophy
Machiavelli-Niccolò,Political Science
More-Thomas,Philosophy-Utopia
Bacon-Francis,Philosophy-Scientific Method
Spinoza-Baruch,Philosophy
Hegel-G-W-F,Philosophy
Schopenhauer-Arthur,Philosophy
Nietzsche-Friedrich,Philosophy
Kierkegaard-Søren,Philosophy
Husserl-Edmund,Philosophy
Heidegger-Martin,Philosophy
Wittgenstein-Ludwig,Philosophy-Logic
Libby-Willard,Chemistry-Radiocarbon Dating
Hodgkin-Dorothy,Chemistry-Crystallography
Wu-Chien-Shiung,Physics
Meitner-Lise,Physics
Fermi-Enrico,Physics
Oppenheimer-J-Robert,Physics
Sakharov-Andrei,Physics-Activism
Gell-Mann-Murray,Physics
Hawking-Stephen,Physics-Cosmology
Penrose-Roger,Mathematics-Physics
Witten-Edward,Physics-Mathematics
Yau-Shing-Tung,Mathematics
Tao-Terence,Mathematics
Thomson-William-Lord Kelvin,Physics-Engineering
Clausius-Rudolf,Physics
Carnot-Sadi,Physics-Thermodynamics
Otto-Nikolaus,Engineering-Invention
Diesel-Rudolf,Engineering-Invention
Benz-Karl,Engineering-Invention
Howe-Elias,Invention-Sewing Machine
Morse-Samuel,Invention-Telegraphy
Whitney-Eli,Invention-Cotton Gin
McCormick-Cyrus,Invention-Agricultural
Tharp-Marie,Geology-Cartography
Wegener-Alfred,Geology-Meteorology
Wilson-J- Tuzo,Geophysics
Alvarez-Walter,Geology-Physics
Leakey-Mary,Paleoanthropology
Leakey-Louis,Paleoanthropology
Lyell-Charles,Geology
Hutton-James,Geology
Alberti-Leon Battista,Polymath
Bird-Isabella,Exploration-Travel Writing
Polo-Marco,Exploration
Battuta-Ibn,Exploration-Geography
He-Zheng,Exploration
Fuller-Buckminster,Design-Invention
Wiesel-Elie,Literature-Ethics
Havel-Vaclav,Literature-Politics
Tutu-Desmond,Ethics-Activism
Ebadi-Shirin,Law-Activism
Gyatso-Tenzin-Dalai Lama,Philosophy-Ethics
Suu Kyi-Aung San,Politics-Activism
Keller-Helen,Activism-Education
Montessori-Maria,Education-Pedagogy
Dewey-John,Education-Philosophy
Freire-Paulo,Education-Pedagogy
Pavlov-Ivan,Physiology-Psychology
Ramón y Cajal-Santiago,Neuroscience
Sherrington-Charles,Neuroscience
Penfield-Wilder,Neuroscience
Kandel-Eric,Neuroscience
Corey-Elias James,Chemistry
Woodward-Robert Burns,Chemistry
Haber-Fritz,Chemistry
Von Kármán-Theodore,Engineering-Aerodynamics
Goddard-Robert,Engineering-Rockets
Tsiolkovsky-Konstantin,Engineering-Rockets
Von Braun-Wernher,Engineering-Rockets
Whittle-Frank,Engineering-Jets
Bethe-Hans,Physics-Astrophysics
Chandrasekhar-Subrahmanyan,Astrophysics
Hubble-Edwin,Astronomy
Slipher-Vesto,Astronomy
Leavitt-Henrietta Swan,Astronomy
Burnell-Jocelyn Bell,Astrophysics
Rubin-Vera,Astronomy
Popper-Karl,Philosophy of Science
Kuhn-Thomas,Philosophy of Science
Lakatos-Imre,Philosophy of Science
Gould-Stephen Jay,Biology-Paleontology
Dawkins-Richard,Biology-Evolution
Wilson-Edward O-,Biology-Sociobiology
Monod-Jacques,Biology-Genetics
Jacob-François,Biology-Genetics
Delbrück-Max,Biology-Genetics
Bacon-Francis,Philosophy-Scientific Method
Boccaccio-Giovanni,Literature
Chaucer-Geoffrey,Literature
Basho,Poetry
Shikibu-Lady Murasaki,Literature
Po-Li,Poetry
Fu-Du,Poetry
Tiruvalluvar,Literature-Ethics
Kalidasa,Literature-Drama
Sana-i,Poetry-Sufism
Attar-Farid ud-Din,Poetry-Sufism
Hafez,Poetry
Jami,Poetry
Ganjavi-Nizami,Poetry
Khayyam-Omar,Mathematics-Poetry
Sina-Ibn,Medicine-Philosophy
Al-Farabi,Philosophy-Music
Al-Ghazali,Philosophy-Theology
Ibn Rushd,Philosophy-Theology
Averroes,Philosophy-Theology
Cheng'en-Wu,Literature
Xueqin-Cao,Literature
Xun-Lu,Literature
Amado-Jorge,Literature
Mistral-Gabriel,Literature-Poetry
Lispector-Clarice,Literature
Paz-Octavio,Poetry
Walcott-Derek,Poetry
Heaney-Seamus,Poetry
Miłosz-Czesław,Poetry
Szymborska-Wisława,Poetry
Frost-Robert,Poetry
Cummings-e-e,Poetry
Hughes-Langston,Poetry
Baldwin-James,Literature-Activism
Hurston-Zora Neale,Literature-Anthropology
Marcell-Gabriel,Philosophy-Existentialism
Stein-Edith,Philosophy-Theology
Arendt-Hannah,Political Theory
