name,field
Winston-Churchill,politics
Margaret-Thatcher,politics
Nelson-Mandela,politics
Golda-Meir,politics
Ben-Gurion,politics
David-Ben-Gurion,politics
Angela-Merkel,politics
Vladimir-Putin,politics
Xi-Jinping,politics
Shinzo-Abe,politics
Akira-Kurosawa,film
Stanley-Kubrick,film
Hayao-Miyazaki,film
Ingmar-Bergman,film
Alfred-Hitchcock,film
Orson-Welles,film
Federico-Fellini,film
Jean-Luc-Godard,film
Francis-Ford-Coppola,film
George-Lucas,film
Steven-Spielberg,film
James-Cameron,film
Ridley-Scott,film
Peter-Jackson,film
Christopher-Nolan,film
Quentin-Tarantino,film
David-Lynch,film
Andrei-Tarkovsky,film
Pablo-Picasso,art
Vincent-van-Gogh,art
Claude-Monet,art
Michelangelo,art
Raphael,art
Donatello,art
Rembrandt,art
Caravaggio,art
Jackson-Pollock,art
Andy-Warhol,art
Salvador-Dali,art
Georgia-OKeeffe,art
Frida-Kahlo,art
Henri-Matisse,art
Paul-Cezanne,art
Johann-Sebastian-Bach,music
Wolfgang-Amadeus-Mozart,music
Ludwig-van-Beethoven,music
Richard-Wagner,music
Giuseppe-Verdi,music
Igor-Stravinsky,music
Claude-Debussy,music
Maurice-Ravel,music
John-Cage,music
Philip-Glass,music
Miles-Davis,music
John-Coltrane,music
Duke-Ellington,music
Ella-Fitzgerald,music
Aretha-Franklin,music
Beyonce,music
Prince,music
Michael-Jackson,music
Freddie-Mercury,music
David-Bowie,music
Bob-Dylan,music
Jimi-Hendrix,music
Kanye-West,music
Tupac-Shakur,music
The-Notorious-BIG,music
Kendrick-Lamar,music
Nina-Simone,music
Sam-Cooke,music
Whitney-Houston,music
Maria-Callas,music
Luciano-Pavarotti,music
Enrico-Caruso,music
Stephen-Sondheim,music
Lin-Manuel-Miranda,music
J-R-R-Tolkien,literature
C-S-Lewis,literature
George-Orwell,literature
Aldous-Huxley,literature
Fyodor-Dostoevsky,literature
Leo-Tolstoy,literature
James-Joyce,literature
Marcel-Proust,literature
Franz-Kafka,literature
Gabriel-Garcia-Marquez,literature
Toni-Morrison,literature
Chinua-Achebe,literature
Haruki-Murakami,literature
Jorge-Luis-Borges,literature
Virginia-Woolf,literature
Jane-Austen,literature
Mary-Shelley,literature
Homer,literature
Sophocles,literature
Euripides,literature
Hesiod,literature
Rumi,poetry
Hafez,poetry
Walt-Whitman,poetry
Emily-Dickinson,poetry
Robert-Frost,poetry
Maya-Angelou,poetry
Langston-Hughes,poetry
William-Shakespeare,literature
Christopher-Marlowe,literature
Ben-Jonson,literature
John-Milton,literature
Dante-Alighieri,literature
Giovanni-Boccaccio,literature
Niccolo-Machiavelli,political-theory
Sun-Tzu,military-strategy
Carl-von-Clausewitz,military-strategy
Hannibal-Barca,military-strategy
Alexander-the-Great,military-strategy
Julius-Caesar,politics
Augustus-Caesar,politics
Constantine-the-Great,politics
Charlemagne,politics
Genghis-Khan,military-strategy
Kublai-Khan,politics
Tamerlane,military-strategy
Mansa-Musa,economics
Ibn-Battuta,exploration
Marco-Polo,exploration
Zheng-He,exploration
Ferdinand-Magellan,exploration
James-Cook,exploration
Roald-Amundsen,exploration
Ernest-Shackleton,exploration
Neil-Armstrong,space-exploration
Buzz-Aldrin,space-exploration
Yuri-Gagarin,space-exploration
Valentina-Tereshkova,space-exploration
Sally-Ride,space-exploration
Mae-Jemison,space-exploration
Katherine-Johnson,mathematics
Dorothy-Vaughan,mathematics
Mary-Jackson,engineering
Isambard-Kingdom-Brunel,engineering
Nikolaus-Otto,engineering
Gottlieb-Daimler,engineering
Karl-Benz,engineering
Wernher-von-Braun,engineering
Robert-Goddard,engineering
Elon-Musk,engineering
Henry-Ford,engineering
Johannes-Gutenberg,invention
Samuel-Morse,invention
Alexander-Graham-Bell,invention
Thomas-Edison,invention
Wright-Brothers,invention
Philo-Farnsworth,invention
Hedy-Lamarr,invention
Tim-Berners-Lee,invention
Ray-Kurzweil,ai
Nick-Bostrom,philosophy
Max-Tegmark,physics
Michio-Kaku,physics
Brian-Maynard-Smith,evolutionary-biology
Richard-Dawkins,evolutionary-biology
E-O-Wilson,biology
Carl-Sagan,astronomy
Neil-deGrasse-Tyson,astronomy
Jane-Marcet,science
Mary-Somerville,science
Caroline-Herschel,astronomy
Cecilia-Payne-Gaposchkin,astronomy
Annie-Jump-Cannon,astronomy
Henrietta-Leavitt,astronomy
Chien-Shiung-Wu,physics
Rosalind-Franklin,biology
Barbara-McClintock,genetics
Rita-Levi-Montalcini,medicine
Gertrude-Elion,medicine
Tu-Youyou,medicine
Florence-Nightingale,medicine
Clara-Barton,medicine
Elizabeth-Blackwell,medicine
