name,field
Élie Cartan,mathematics
Hermann Weyl,mathematics
André Weil,mathematics
Jean-Pierre Serre,mathematics
Alexander Grothendieck,mathematics
John Nash,mathematics
Andrew Wiles,mathematics
Grigori Perelman,mathematics
Terence Tao,mathematics
Maryam Mirzakhani,mathematics
Plato,philosophy
Socrates,philosophy
Confucius,philosophy
Laozi,philosophy
Buddha,philosophy
Heraclitus,philosophy
Parmenides,philosophy
Zeno of Elea,philosophy
Epicurus,philosophy
Lucretius,philosophy
Plotinus,philosophy
Augustine of Hippo,philosophy
Thomas Aquinas,philosophy
Duns Scotus,philosophy
William of Ockham,philosophy
Francis Bacon,polymath
Thomas Hobbes,philosophy
John Locke,philosophy
Baruch Spinoza,philosophy
George Berkeley,philosophy
David Hume,philosophy
Jean-Jacques Rousseau,philosophy
Immanuel Kant,philosophy
Georg Wilhelm Friedrich Hegel,philosophy
Arthur Schopenhauer,philosophy
Søren Kierkegaard,philosophy
Friedrich Nietzsche,philosophy
Karl Marx,philosophy
John Stuart Mill,philosophy
Ludwig Wittgenstein,philosophy
Martin Heidegger,philosophy
Jean-Paul Sartre,philosophy
Simone de Beauvoir,philosophy
Hannah Arendt,philosophy
Michel Foucault,philosophy
Jacques Derrida,philosophy
John Rawls,philosophy
Noam Chomsky,linguistics
Ferdinand de Saussure,linguistics
Claude Lévi-Strauss,anthropology
Franz Boas,anthropology
Margaret Mead,anthropology
Bronisław Malinowski,anthropology
Ruth Benedict,anthropology
Adam Smith,economics
David Ricardo,economics
Karl Marx,economics
John Maynard Keynes,economics
Friedrich Hayek,economics
Milton Friedman,economics
Paul Samuelson,economics
Kenneth Arrow,economics
Amartya Sen,economics
Thomas Schelling,economics
Homer,literature
Virgil,literature
Dante Alighieri,literature
Geoffrey Chaucer,literature
Miguel de Cervantes,literature
William Shakespeare,literature
John Milton,literature
Johann Wolfgang von Goethe,polymath
Victor Hugo,literature
Fyodor Dostoevsky,literature
Leo Tolstoy,literature
Marcel Proust,literature
James Joyce,literature
Virginia Woolf,literature
Franz Kafka,literature
Jorge Luis Borges,literature
Gabriel García Márquez,literature
Toni Morrison,literature
Johann Sebastian Bach,music
Wolfgang Amadeus Mozart,music
Ludwig van Beethoven,music
Franz Schubert,music
Richard Wagner,music
Johannes Brahms,music
Pyotr Ilyich Tchaikovsky,music
Claude Debussy,music
Igor Stravinsky,music
Arnold Schoenberg,music
Béla Bartók,music
Duke Ellington,music
Miles Davis,music
John Coltrane,music
Giotto di Bondone,art
Sandro Botticelli,art
Michelangelo Buonarroti,polymath
Raphael,art
Titian,art
Caravaggio,art
Rembrandt van Rijn,art
Johannes Vermeer,art
Diego Velázquez,art
Francisco Goya,art
J.M.W. Turner,art
Eugène Delacroix,art
Édouard Manet,art
Claude Monet,art
Pierre-Auguste Renoir,art
Paul Cézanne,art
Vincent van Gogh,art
Paul Gauguin,art
Henri Matisse,art
Pablo Picasso,art
Wassily Kandinsky,art
Piet Mondrian,art
Marcel Duchamp,art
Salvador Dalí,art
Frida Kahlo,art
Jackson Pollock,art
Mark Rothko,art
Andy Warhol,art
Filippo Brunelleschi,architecture
Leon Battista Alberti,polymath
Andrea Palladio,architecture
Christopher Wren,architecture
Frank Lloyd Wright,architecture
Le Corbusier,architecture
Ludwig Mies van der Rohe,architecture
Zaha Hadid,architecture
Thomas Edison,invention
Alexander Graham Bell,invention
Guglielmo Marconi,invention
Wright Brothers - Wilbur Wright,invention
Wright Brothers - Orville Wright,invention
Henry Ford,invention
Rudolf Diesel,invention
George Stephenson,invention
James Watt,invention
Alessandro Volta,physics
André-Marie Ampère,physics
Georg Ohm,physics
Samuel Morse,invention
Charles Goodyear,invention
Louis Daguerre,invention
George Eastman,invention
John Logie Baird,invention
Philo Farnsworth,invention
Grace Hopper,computer science
Donald Knuth,computer science
Edsger Dijkstra,computer science
Tony Hoare,computer science
Dennis Ritchie,computer science
Ken Thompson,computer science
Bjarne Stroustrup,computer science
Tim Berners-Lee,computer science
Vint Cerf,computer science
Robert Kahn,computer science
Claude Shannon,mathematics
Norbert Wiener,mathematics
John McCarthy,computer science
Marvin Minsky,computer science
Herbert Simon,computer science
Allen Newell,computer science
Judea Pearl,computer science
Geoffrey Hinton,computer science
Yann LeCun,computer science
Yoshua Bengio,computer science
Archytas,polymath
Hero of Alexandria,engineering
Zhang Heng,polymath
Zu Chongzhi,mathematics
Shen Kuo,polymath
Guo Shoujing,astronomy
Zhu Shijie,mathematics
Takakazu Seki,mathematics
Mozi,philosophy
Mencius,philosophy
Xunzi,philosophy
Han Fei,philosophy
Zhuangzi,philosophy
Nagarjuna,philosophy
Dignaga,philosophy
Dharmakirti,philosophy
Adi Shankara,philosophy
Ramanuja,philosophy
Madhvacharya,philosophy
Chanakya,polymath
Panini,linguistics
Patanjali,philosophy
Charaka,medicine
Sushruta,medicine
Varahamihira,polymath
Al-Kindi,polymath
Al-Farabi,polymath
Al-Razi,polymath
Ibn Sina - Avicenna,polymath
Al-Ghazali,philosophy
Ibn Rushd - Averroes,polymath
Ibn Khaldun,polymath
Jabir ibn Hayyan,chemistry
Al-Battani,astronomy
Abu Rayhan al-Biruni,polymath
Alhazen - Ibn al-Haytham,polymath
Maimonides,polymath
Moses Mendelssohn,philosophy
Baruch Spinoza,philosophy
Martin Buber,philosophy
Emmanuel Levinas,philosophy
